year,level_1,level_2,value
2014,Brides - Secondary & Below,Grooms - Post-secondary,684
2014,Brides - Secondary & Below,Grooms - University,348
2014,Brides - Post-secondary,Grooms - Secondary & Below,582
2014,Brides - Post-secondary,Grooms - Post-secondary,2313
2014,Brides - Post-secondary,Grooms - University,1298
2014,Brides - University,Grooms - Secondary & Below,478
2014,Brides - University,Grooms - Post-secondary,2089
2014,Brides - University,Grooms - University,8790
2015,Total,Grooms - Secondary & Below,1949
2015,Total,Grooms - Post-secondary,5125
2015,Total,Grooms - University,10468
2015,Brides - Secondary & Below,Grooms - Secondary & Below,859
2015,Brides - Secondary & Below,Grooms - Post-secondary,664
2015,Brides - Secondary & Below,Grooms - University,273
2015,Brides - Post-secondary,Grooms - Secondary & Below,638
2015,Brides - Post-secondary,Grooms - Post-secondary,2437
2015,Brides - Post-secondary,Grooms - University,1481
2015,Brides - University,Grooms - Secondary & Below,452
2015,Brides - University,Grooms - Post-secondary,2024
2015,Brides - University,Grooms - University,8714
2016,Total,Grooms - Secondary & Below,1774
2016,Total,Grooms - Post-secondary,4984
2016,Total,Grooms - University,10366
2016,Brides - Secondary & Below,Grooms - Secondary & Below,781
2016,Brides - Secondary & Below,Grooms - Post-secondary,596
2016,Brides - Secondary & Below,Grooms - University,209
2016,Brides - Post-secondary,Grooms - Secondary & Below,591
2016,Brides - Post-secondary,Grooms - Post-secondary,2321
2016,Brides - Post-secondary,Grooms - University,1374
2016,Brides - University,Grooms - Secondary & Below,402
2016,Brides - University,Grooms - Post-secondary,2067
2016,Brides - University,Grooms - University,8783
2017,Total,Grooms - Secondary & Below,1518
2017,Total,Grooms - Post-secondary,4879
2017,Total,Grooms - University,11074
2017,Brides - Secondary & Below,Grooms - Secondary & Below,640
2017,Brides - Secondary & Below,Grooms - Post-secondary,495
2017,Brides - Secondary & Below,Grooms - University,219
2017,Brides - Post-secondary,Grooms - Secondary & Below,518
2017,Brides - Post-secondary,Grooms - Post-secondary,2209
2017,Brides - Post-secondary,Grooms - University,1399
2017,Brides - University,Grooms - Secondary & Below,360
2017,Brides - University,Grooms - Post-secondary,2175
2017,Brides - University,Grooms - University,9456
2018,Total,Grooms - Secondary & Below,1304
2018,Total,Grooms - Post-secondary,4543
2018,Total,Grooms - University,10913
2018,Brides - Secondary & Below,Grooms - Secondary & Below,513
2018,Brides - Secondary & Below,Grooms - Post-secondary,471
2018,Brides - Secondary & Below,Grooms - University,200
2018,Brides - Post-secondary,Grooms - Secondary & Below,443
2018,Brides - Post-secondary,Grooms - Post-secondary,1990
2018,Brides - Post-secondary,Grooms - University,1285
2018,Brides - University,Grooms - Secondary & Below,348
2018,Brides - University,Grooms - Post-secondary,2082
2018,Brides - University,Grooms - University,9428
2019,Total,Grooms - Secondary & Below,1203
2019,Total,Grooms - Post-secondary,4092
2019,Total,Grooms - University,10172
2019,Brides - Secondary & Below,Grooms - Secondary & Below,448
2019,Brides - Secondary & Below,Grooms - Post-secondary,420
2019,Brides - Secondary & Below,Grooms - University,176
2019,Brides - Post-secondary,Grooms - Secondary & Below,423
2019,Brides - Post-secondary,Grooms - Post-secondary,1795
2019,Brides - Post-secondary,Grooms - University,1155
2019,Brides - University,Grooms - Secondary & Below,332
2019,Brides - University,Grooms - Post-secondary,1877
2019,Brides - University,Grooms - University,8841
